Date,Price,Open,High,Low,Vol.,Change %
28-Dec-18,72.27,72.18,72.86,72.06,-,0.33%
27-Dec-18,72.03,74.06,74.18,71.88,-,-1.92%
26-Dec-18,73.44,72.72,73.54,72.16,-,1.35%
24-Dec-18,72.46,73.72,73.78,72.41,-,-1.04%
21-Dec-18,73.22,75.31,75.6,73.07,-,-2.67%
20-Dec-18,75.23,76.67,77.38,75.03,-,-1.87%
19-Dec-18,76.66,77.67,78.02,76.64,-,-1.47%
18-Dec-18,77.8,78.34,78.63,77.77,-,-0.83%
17-Dec-18,78.45,79.41,79.79,77.91,-,-1.43%
14-Dec-18,79.59,79.36,79.94,78.63,-,0.16%
13-Dec-18,79.46,79.83,79.96,78.95,-,-0.60%
12-Dec-18,79.94,80.2,80.31,79.57,-,-0.10%
11-Dec-18,80.02,79.9,80.65,79.13,-,0.26%
10-Dec-18,79.81,80.12,80.6,79.38,-,-0.55%
7-Dec-18,80.25,79.04,80.93,78.81,-,1.52%
6-Dec-18,79.05,80.33,80.73,78.62,-,-2.48%
5-Dec-18,81.06,79.9,81.3,79.68,-,1.60%
4-Dec-18,79.78,79.62,80.37,79.32,-,-0.09%
3-Dec-18,79.85,80.64,81.85,79.82,-,1.29%
30-Nov-18,78.83,78.89,79.3,78.46,-,0.14%
29-Nov-18,78.72,78.75,79.19,78.03,-,-0.08%
28-Nov-18,78.78,77.75,79.04,77.69,-,1.23%
27-Nov-18,77.82,78.42,78.46,77.55,-,-0.74%
26-Nov-18,78.4,77.22,78.7,77.19,-,1.46%
23-Nov-18,77.27,77.79,77.96,77.22,-,-1.92%
21-Nov-18,78.78,77.38,79.39,77.26,-,1.77%
20-Nov-18,77.41,78.06,78.37,77.41,-,-0.87%
19-Nov-18,78.09,78.72,79.01,77.66,-,-0.27%
16-Nov-18,78.3,78.15,79.33,78.06,-,0.10%
15-Nov-18,78.22,78.27,78.79,77.81,-,-0.15%
14-Nov-18,78.34,77.91,78.67,77.84,-,0.82%
13-Nov-18,77.7,78.35,78.62,77.51,-,-0.77%
12-Nov-18,78.3,79.13,79.73,78.22,-,0.17%
9-Nov-18,78.17,79.09,79.18,77.21,-,-1.04%
8-Nov-18,78.99,79.2,80.48,78.7,-,0.15%
7-Nov-18,78.87,77.39,79.74,77.21,-,1.85%
6-Nov-18,77.44,78.66,79.16,76.84,-,-1.73%
5-Nov-18,78.8,78.82,79.4,78.3,-,0.03%
2-Nov-18,78.78,78.95,79.77,78.31,-,-0.37%
1-Nov-18,79.07,76.9,79.54,76.56,-,2.89%
31-Oct-18,76.85,76.86,77.02,76.5,-,-0.04%
30-Oct-18,76.88,77.15,77.5,76.56,-,-0.36%
29-Oct-18,77.16,79.38,79.48,77.1,-,-1.77%
26-Oct-18,78.55,77.83,78.74,77.17,-,1.11%
25-Oct-18,77.69,76.91,77.74,76.15,-,0.82%
24-Oct-18,77.06,78.95,79.49,77.02,-,-2.46%
23-Oct-18,79,79.89,79.99,78.2,-,-1.26%
22-Oct-18,80.01,77.79,80.14,77.77,-,2.70%
19-Oct-18,77.91,78.09,78.15,77.53,-,-0.15%
18-Oct-18,78.03,77.98,78.39,77.34,-,0.21%
17-Oct-18,77.87,78.22,78.6,77.67,-,-0.68%
16-Oct-18,78.4,78.98,78.98,78.26,-,-0.44%
