oil,DATE_year,DATE_month,DATE_day,gold,coffee,corn,cotton,lumber,wheat,snp
48.68,2016,6,21,"1,264.70",138.5,396.25,64.45,298.8,458.12,2088.899902
48.59,2016,6,22,"1,266.33",136.95,393.0,64.62,299.4,458.75,2085.449951
49.74,2016,6,23,"1,236.30",139.25,387.25,65.47,301.3,454.0,2113.320068
47.87,2016,6,24,"1,333.75",134.35,384.5,64.54,295.5,453.25,2037.410034
46.0,2016,6,27,"1,324.80",134.5,385.25,64.42,294.6,459.25,2000.540039
47.52,2016,6,28,"1,317.50",138.9,385.25,65.91,299.3,458.25,2036.089966
49.5,2016,6,29,"1,328.70",142.85,372.75,65.97,304.1,444.25,2070.77002
49.07,2016,6,30,"1,322.18",144.1,358.75,64.37,303.9,448.0,2098.860107
48.56,2016,7,1,"1,342.65",144.85,353.0,65.04,309.3,430.62,2102.949951
46.51,2016,7,5,"1,360.00",144.2,344.0,65.44,317.5,431.5,2088.550049
47.43,2016,7,6,"1,363.90",141.95,335.75,65.53,315.1,429.5,2099.72998
45.34,2016,7,7,"1,363.00",140.45,335.5,64.95,312.1,425.62,2097.899902
45.43,2016,7,8,"1,366.80",142.75,349.75,65.79,312.1,435.5,2129.899902
44.92,2016,7,11,"1,355.25",147.95,343.75,67.74,314.5,430.75,2137.159912
46.67,2016,7,12,"1,332.50",145.95,349.75,70.75,316.6,437.5,2152.139893
44.77,2016,7,13,"1,347.50",146.2,365.75,73.22,317.9,441.0,2152.429932
45.62,2016,7,14,"1,335.10",150.3,362.25,73.88,323.2,433.75,2163.75
46.0,2016,7,15,"1,337.85",145.7,352.25,74.36,318.3,425.5,2161.73999
45.19,2016,7,18,"1,326.00",147.8,357.0,74.0,328.3,430.25,2166.889893
44.8,2016,7,19,"1,334.80",144.65,341.75,73.37,325.7,418.5,2163.780029
44.91,2016,7,20,"1,310.50",147.0,337.5,72.46,327.6,412.75,2173.02002
45.07,2016,7,21,"1,339.00",146.85,334.25,73.12,329.9,418.25,2165.169922
43.86,2016,7,22,"1,323.18",141.9,335.0,72.84,329.1,426.12,2175.030029
